City ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,richards bay,ZA,86,1632165365,87,-28.783,32.0377,68.02,14.29
389,qadirpur ran,PK,11,1632165365,45,30.2924,71.6712,91.29,9.86
390,santa maria,BR,40,1632165274,69,-29.6842,-53.8069,81.7,8.05
391,kirksville,US,75,1632165366,62,40.1948,-92.5833,85.95,11.5
392,phan thiet,VN,100,1632165367,88,10.9333,108.1,75.9,5.84
393,mutis,CO,58,1632165367,77,6.2262,-77.4044,82.26,8.41
394,dolores,AR,89,1632165368,68,-36.3132,-57.6792,61.3,18.41
395,sao gabriel da cachoeira,BR,40,1632165368,52,-0.1303,-67.0892,93.0,5.75
396,saint-augustin,CA,0,1632164919,27,51.226,-58.6502,58.41,4.7
397,puerto escondido,MX,75,1632165369,62,15.85,-97.0667,88.63,8.05
398,shambu,ET,16,1632165369,87,9.5667,37.1,52.39,2.26
399,wasilla,US,90,1632165261,72,61.5814,-149.4394,46.38,0.0
400,birao,CF,90,1632165370,91,10.2849,22.7882,73.53,4.45
401,suluq,LY,0,1632165371,31,31.6682,20.2521,85.51,8.75
402,uberaba,BR,7,1632165237,12,-19.7483,-47.9319,97.38,3.44
403,jiaonan,CN,0,1632165371,87,35.8786,119.9753,64.42,9.86
404,sambava,MG,59,1632165372,73,-14.2667,50.1667,71.47,13.69
405,bridlington,GB,100,1632165372,84,54.0831,-0.1919,55.58,6.13
406,waipawa,NZ,16,1632165373,78,-41.4122,175.5153,52.43,17.6
407,dehloran,IR,0,1632165374,14,32.6941,47.2679,88.79,6.67
408,srednekolymsk,RU,100,1632165374,80,67.45,153.6833,27.3,14.54
409,ust-nera,RU,77,1632165375,87,64.5667,143.2,26.98,5.88
410,berdigestyakh,RU,14,1632165376,92,62.0989,126.6992,30.65,0.25
411,sinnamary,GF,26,1632165376,66,5.3833,-52.95,85.53,10.8
412,jiujiang,CN,0,1632165377,78,29.7333,115.9833,69.42,4.23
413,pont-a-mousson,FR,0,1632165377,94,48.9079,6.0589,60.58,6.91
414,lompoc,US,1,1632165378,48,34.6391,-120.4579,88.11,6.91
415,hofn,IS,40,1632165378,62,64.2539,-15.2082,53.62,16.11
416,komyshany,UA,100,1632165379,56,46.6372,32.5072,55.74,5.48
417,port-cartier,CA,2,1632165379,63,50.0334,-66.8654,53.82,5.19
418,manokwari,ID,100,1632165380,81,-0.8667,134.0833,77.25,4.5
419,chute-aux-outardes,CA,90,1632165380,72,49.1168,-68.399,59.31,9.22
420,georgiyevka,KZ,0,1632165381,62,43.0369,74.7114,50.04,4.47
421,arya,PK,2,1632165381,66,33.6,73.0667,80.82,6.4
422,sola,VU,51,1632165382,74,-13.8833,167.55,77.41,22.06
423,touros,BR,29,1632165383,63,-5.1989,-35.4608,83.3,16.58
424,gelemso,ET,100,1632165384,83,8.8167,40.5167,61.16,6.49
425,jambi,ID,65,1632165385,92,-1.6,103.6167,75.04,2.42
426,staroutkinsk,RU,8,1632165385,94,57.2302,59.3348,32.29,3.06
427,yarmouth,US,1,1632165386,56,41.7057,-70.2286,73.62,8.05
428,bombo,ID,100,1632165386,82,-8.6131,119.0131,77.11,3.6
429,fukue,JP,7,1632164833,83,32.6881,128.8419,77.11,14.18
430,flin flon,CA,75,1632165387,50,54.7682,-101.865,55.24,12.66
431,garwolin,PL,100,1632165387,82,51.8975,21.6147,44.26,9.01
432,tchibanga,GA,14,1632165388,80,-2.85,11.0333,73.29,5.39
433,charters towers,AU,100,1632165388,90,-20.1,146.2667,61.34,7.02
434,oriximina,BR,94,1632165389,52,-1.7656,-55.8661,89.64,0.76
435,northam,GB,90,1632165389,89,51.0333,-4.2167,56.21,7.99
436,alenquer,BR,100,1632165390,45,-1.9417,-54.7383,93.54,1.72
437,hurghada,EG,0,1632165390,33,27.2574,33.8129,88.81,13.18
438,majene,ID,100,1632165390,91,-3.5403,118.9707,75.52,10.38
439,yerbogachen,RU,100,1632165391,84,61.2767,108.0108,47.84,10.69
440,kjopsvik,NO,2,1632165392,68,68.097,16.3742,46.27,10.25
441,port macquarie,AU,85,1632165392,70,-31.4333,152.9167,51.76,18.01
442,souillac,MU,75,1632165393,68,-20.5167,57.5167,70.18,16.11
443,sur,OM,2,1632165393,68,22.5667,59.5289,84.74,14.25
444,saint-ambroise,CA,44,1632165393,37,48.5501,-71.3324,73.89,8.37
445,ayan,RU,34,1632165394,61,56.45,138.1667,42.8,13.73
446,menongue,AO,78,1632165394,34,-14.6585,17.691,78.33,9.19
447,bathsheba,BB,40,1632165395,66,13.2167,-59.5167,88.41,13.8
448,salalah,OM,75,1632165395,89,17.0151,54.0924,80.69,8.05
449,wamba,NG,22,1632165396,86,8.9333,8.6,74.62,1.77
450,akyab,MM,88,1632165396,85,20.15,92.9,80.11,2.17
451,tommot,RU,1,1632165396,94,58.9564,126.2925,31.91,2.17
452,la reforma,MX,100,1632165397,60,25.0833,-108.05,89.89,9.13
453,boyolangu,ID,100,1632165397,93,-8.1181,111.8935,73.62,1.68
454,grande riviere du nord,HT,75,1632165398,62,19.5833,-72.1833,84.25,11.5
455,gorontalo,ID,100,1632165398,95,0.5412,123.0595,74.23,1.23
456,carballo,ES,0,1632165399,82,43.213,-8.691,62.29,8.97
457,makakilo city,US,40,1632165400,58,21.3469,-158.0858,82.72,10.36
458,hobyo,SO,81,1632165400,86,5.3505,48.5268,77.07,22.3
459,sosnogorsk,RU,100,1632165401,70,63.6023,53.8817,38.79,4.56
460,port blair,IN,100,1632165401,82,11.6667,92.75,81.1,10.29
461,puerto carreno,CO,75,1632165401,56,6.189,-67.4859,88.61,2.68
462,mehamn,NO,0,1632165402,65,71.0357,27.8492,44.78,8.05
463,coruripe,BR,90,1632165293,66,-10.1256,-36.1756,78.76,9.86
